date,ninsee,no2,o3,pm10,code_commune,commune_std
01/04/2018,77293,10,42,17,77293.0,77293.0
01/04/2018,77294,31,31,29,77294.0,77294.0
01/04/2018,77295,16,38,19,77295.0,77295.0
01/04/2018,77296,20,38,20,77296.0,77296.0
01/04/2018,77297,9,43,14,77297.0,77297.0
01/04/2018,77298,11,39,19,77298.0,77298.0
01/04/2018,77299,7,43,17,77299.0,77299.0
01/04/2018,77300,15,34,25,77300.0,77300.0
01/04/2018,77301,11,36,24,77301.0,77301.0
01/04/2018,77302,5,43,15,77302.0,77302.0
01/04/2018,77303,11,35,25,77303.0,77303.0
01/04/2018,77304,10,35,25,77304.0,77304.0
01/04/2018,77305,9,42,17,77305.0,77305.0
01/04/2018,77306,18,38,20,77306.0,77306.0
01/04/2018,77307,26,32,25,77307.0,77307.0
01/04/2018,77308,24,34,29,77308.0,77308.0
01/04/2018,77309,20,34,29,77309.0,77309.0
01/04/2018,77310,11,39,19,77310.0,77310.0
01/04/2018,77311,10,40,19,77311.0,77311.0
01/04/2018,77312,6,43,15,77312.0,77312.0
01/04/2018,77313,9,43,17,77313.0,77313.0
01/04/2018,77314,11,35,25,77314.0,77314.0
01/04/2018,77315,22,33,27,77315.0,77315.0
01/04/2018,77316,7,43,15,77316.0,77316.0
01/04/2018,77317,14,38,20,77317.0,77317.0
01/04/2018,77318,18,34,24,77318.0,77318.0
01/04/2018,77319,11,37,22,77319.0,77319.0
01/04/2018,77320,14,35,24,77320.0,77320.0
01/04/2018,77321,11,39,19,77321.0,77321.0
01/04/2018,77322,29,33,27,77322.0,77322.0
01/04/2018,77323,28,33,27,77323.0,77323.0
01/04/2018,77325,11,38,19,77325.0,77325.0
01/04/2018,77326,20,38,20,77326.0,77326.0
01/04/2018,77327,13,38,20,77327.0,77327.0
01/04/2018,77328,9,41,15,77328.0,77328.0
01/04/2018,77329,7,43,15,77329.0,77329.0
01/04/2018,77330,18,34,27,77330.0,77330.0
01/04/2018,77331,11,35,24,77331.0,77331.0
01/04/2018,77332,25,33,29,77332.0,77332.0
01/04/2018,77333,6,43,15,77333.0,77333.0
01/04/2018,77335,21,33,29,77335.0,77335.0
01/04/2018,77336,21,34,24,77336.0,77336.0
01/04/2018,77337,31,32,25,77337.0,77337.0
01/04/2018,77338,8,43,17,77338.0,77338.0
01/04/2018,77339,10,41,15,77339.0,77339.0
01/04/2018,77340,6,43,15,77340.0,77340.0
01/04/2018,77341,11,37,20,77341.0,77341.0
01/04/2018,77342,7,43,15,77342.0,77342.0
01/04/2018,77343,11,35,24,77343.0,77343.0
01/04/2018,77344,20,34,27,77344.0,77344.0
01/04/2018,77345,12,35,24,77345.0,77345.0
01/04/2018,77347,11,38,20,77347.0,77347.0
01/04/2018,77348,6,43,15,77348.0,77348.0
01/04/2018,77349,26,33,27,77349.0,77349.0
01/04/2018,77350,25,33,24,77350.0,77350.0
01/04/2018,77352,17,36,22,77352.0,77352.0
01/04/2018,77353,8,43,15,77353.0,77353.0
01/04/2018,77354,11,41,17,77354.0,77354.0
01/04/2018,77355,11,38,20,77355.0,77355.0
01/04/2018,77356,11,36,20,77356.0,77356.0
01/04/2018,77357,14,37,22,77357.0,77357.0
01/04/2018,77358,19,34,27,77358.0,77358.0
01/04/2018,77359,14,40,17,77359.0,77359.0
01/04/2018,77360,15,35,24,77360.0,77360.0
01/04/2018,77361,15,35,25,77361.0,77361.0
01/04/2018,77363,28,31,29,77363.0,77363.0
01/04/2018,77364,22,33,29,77364.0,77364.0
01/04/2018,77365,14,35,22,77365.0,77365.0
01/04/2018,77366,21,33,29,77366.0,77366.0
01/04/2018,77367,13,34,25,77367.0,77367.0
01/04/2018,77368,11,37,20,77368.0,77368.0
01/04/2018,77369,17,34,27,77369.0,77369.0
01/04/2018,77370,7,43,15,77370.0,77370.0
01/04/2018,77371,15,34,24,77371.0,77371.0
01/04/2018,77372,29,31,27,77372.0,77372.0
01/04/2018,77373,27,33,24,77373.0,77373.0
01/04/2018,77374,27,33,24,77374.0,77374.0
01/04/2018,77376,23,32,29,77376.0,77376.0
01/04/2018,77377,21,35,22,77377.0,77377.0
01/04/2018,77378,17,39,17,77378.0,77378.0
01/04/2018,77379,11,37,22,77379.0,77379.0
01/04/2018,77380,15,34,27,77380.0,77380.0
01/04/2018,77381,14,37,20,77381.0,77381.0
01/04/2018,77382,20,33,27,77382.0,77382.0
01/04/2018,77383,12,38,20,77383.0,77383.0
01/04/2018,77384,19,38,20,77384.0,77384.0
01/04/2018,77385,12,35,24,77385.0,77385.0
01/04/2018,77386,5,43,15,77386.0,77386.0
01/04/2018,77387,8,43,15,77387.0,77387.0
01/04/2018,77388,12,35,24,77388.0,77388.0
01/04/2018,77389,14,39,17,77389.0,77389.0
01/04/2018,77390,27,33,24,77390.0,77390.0
01/04/2018,77391,11,37,22,77391.0,77391.0
01/04/2018,77392,23,34,29,77392.0,77392.0
01/04/2018,77393,15,36,22,77393.0,77393.0
01/04/2018,77394,17,38,19,77394.0,77394.0
01/04/2018,77395,7,42,15,77395.0,77395.0
01/04/2018,77396,11,36,22,77396.0,77396.0
01/04/2018,77397,11,35,24,77397.0,77397.0
01/04/2018,77398,11,35,24,77398.0,77398.0
01/04/2018,77399,8,43,15,77399.0,77399.0
01/04/2018,77400,14,34,24,77400.0,77400.0
01/04/2018,77401,11,35,24,77401.0,77401.0
01/04/2018,77402,11,35,24,77402.0,77402.0
01/04/2018,77403,11,37,22,77403.0,77403.0
01/04/2018,77404,11,37,20,77404.0,77404.0
01/04/2018,77405,13,35,24,77405.0,77405.0
01/04/2018,77406,13,35,24,77406.0,77406.0
01/04/2018,77407,19,39,19,77407.0,77407.0
01/04/2018,77408,16,34,25,77408.0,77408.0
01/04/2018,77409,9,42,17,77409.0,77409.0
01/04/2018,77410,17,38,20,77410.0,77410.0
01/04/2018,77411,14,35,24,77411.0,77411.0
01/04/2018,77412,14,40,17,77412.0,77412.0
01/04/2018,77413,21,33,25,77413.0,77413.0
01/04/2018,77414,11,37,22,77414.0,77414.0
01/04/2018,77415,14,34,25,77415.0,77415.0
01/04/2018,77416,13,37,22,77416.0,77416.0
01/04/2018,77417,12,35,24,77417.0,77417.0
01/04/2018,77418,11,38,20,77418.0,77418.0
01/04/2018,77419,8,42,15,77419.0,77419.0
01/04/2018,77420,25,33,29,77420.0,77420.0
01/04/2018,77421,11,36,24,77421.0,77421.0
01/04/2018,77423,11,35,24,77423.0,77423.0
01/04/2018,77424,11,36,24,77424.0,77424.0
01/04/2018,77425,11,41,15,77425.0,77425.0
01/04/2018,77426,14,38,20,77426.0,77426.0
01/04/2018,77427,25,33,29,77427.0,77427.0
01/04/2018,77428,13,38,20,77428.0,77428.0
01/04/2018,77429,12,35,24,77429.0,77429.0
01/04/2018,77430,20,34,27,77430.0,77430.0
01/04/2018,77431,6,43,15,77431.0,77431.0
01/04/2018,77432,12,35,24,77432.0,77432.0
01/04/2018,77433,14,35,24,77433.0,77433.0
01/04/2018,77434,11,39,19,77434.0,77434.0
01/04/2018,77435,16,40,17,77435.0,77435.0
01/04/2018,77436,13,35,24,77436.0,77436.0
01/04/2018,77437,21,34,29,77437.0,77437.0
01/04/2018,77438,29,32,25,77438.0,77438.0
01/04/2018,77439,10,41,17,77439.0,77439.0
01/04/2018,77440,13,35,25,77440.0,77440.0
01/04/2018,77441,10,41,17,77441.0,77441.0
01/04/2018,77442,8,42,17,77442.0,77442.0
01/04/2018,77443,16,34,25,77443.0,77443.0
01/04/2018,77444,11,36,24,77444.0,77444.0
01/04/2018,77445,20,38,20,77445.0,77445.0
01/04/2018,77446,11,38,20,77446.0,77446.0
01/04/2018,77447,19,39,19,77447.0,77447.0
01/04/2018,77448,12,35,24,77448.0,77448.0
01/04/2018,77449,23,33,25,77449.0,77449.0
01/04/2018,77450,21,35,22,77450.0,77450.0
01/04/2018,77451,14,35,25,77451.0,77451.0
01/04/2018,77452,11,39,19,77452.0,77452.0
01/04/2018,77453,14,39,19,77453.0,77453.0
01/04/2018,77454,11,38,20,77454.0,77454.0
01/04/2018,77455,19,36,20,77455.0,77455.0
01/04/2018,77456,11,37,20,77456.0,77456.0
01/04/2018,77457,18,36,20,77457.0,77457.0
01/04/2018,77458,9,43,15,77458.0,77458.0
01/04/2018,77459,11,37,20,77459.0,77459.0
01/04/2018,77460,12,35,25,77460.0,77460.0
01/04/2018,77461,11,38,20,77461.0,77461.0
01/04/2018,77462,27,32,29,77462.0,77462.0
01/04/2018,77463,8,42,15,77463.0,77463.0
01/04/2018,77464,27,32,27,77464.0,77464.0
01/04/2018,77465,8,43,17,77465.0,77465.0
01/04/2018,77466,18,34,24,77466.0,77466.0
01/04/2018,77467,10,42,17,77467.0,77467.0
01/04/2018,77468,31,32,25,77468.0,77468.0
01/04/2018,77469,14,35,24,77469.0,77469.0
01/04/2018,77470,22,34,22,77470.0,77470.0
01/04/2018,77471,10,41,15,77471.0,77471.0
01/04/2018,77472,12,35,24,77472.0,77472.0
01/04/2018,77473,7,43,15,77473.0,77473.0
01/04/2018,77474,22,33,27,77474.0,77474.0
01/04/2018,77475,16,34,27,77475.0,77475.0
01/04/2018,77476,14,34,25,77476.0,77476.0
01/04/2018,77477,6,43,15,77477.0,77477.0
01/04/2018,77478,13,35,25,77478.0,77478.0
01/04/2018,77479,30,32,25,77479.0,77479.0
01/04/2018,77480,10,41,17,77480.0,77480.0
01/04/2018,77481,12,38,20,77481.0,77481.0
01/04/2018,77482,8,43,17,77482.0,77482.0
01/04/2018,77483,16,34,27,77483.0,77483.0
01/04/2018,77484,16,34,25,77484.0,77484.0
01/04/2018,77485,8,42,15,77485.0,77485.0
01/04/2018,77486,14,36,24,77486.0,77486.0
01/04/2018,77487,15,39,19,77487.0,77487.0
01/04/2018,77489,9,43,15,77489.0,77489.0
01/04/2018,77490,11,35,24,77490.0,77490.0
01/04/2018,77491,7,43,15,77491.0,77491.0
01/04/2018,77492,11,35,25,77492.0,77492.0
01/04/2018,77493,15,37,20,77493.0,77493.0
01/04/2018,77494,9,42,17,77494.0,77494.0
01/04/2018,77495,18,38,19,77495.0,77495.0
01/04/2018,77496,12,37,20,77496.0,77496.0
01/04/2018,77498,21,33,27,77498.0,77498.0
01/04/2018,77500,9,43,15,77500.0,77500.0
01/04/2018,77501,7,43,15,77501.0,77501.0
01/04/2018,77504,8,43,15,77504.0,77504.0
01/04/2018,77505,16,34,25,77505.0,77505.0
01/04/2018,77506,7,43,15,77506.0,77506.0
01/04/2018,77507,11,37,19,77507.0,77507.0
01/04/2018,77508,21,34,25,77508.0,77508.0
01/04/2018,77509,11,40,19,77509.0,77509.0
01/04/2018,77510,23,33,24,77510.0,77510.0
01/04/2018,77511,28,32,29,77511.0,77511.0
01/04/2018,77512,11,35,24,77512.0,77512.0
01/04/2018,77513,20,33,27,77513.0,77513.0
01/04/2018,77514,28,30,29,77514.0,77514.0
01/04/2018,77515,22,33,29,77515.0,77515.0
01/04/2018,77516,8,43,17,77516.0,77516.0
01/04/2018,77517,28,31,27,77517.0,77517.0
01/04/2018,77518,15,40,17,77518.0,77518.0
01/04/2018,77519,11,36,24,77519.0,77519.0
01/04/2018,77520,5,43,15,77520.0,77520.0
