identifiant_interne,libelle,nom_court,sigle,type_detablissement,secteur_detablissement,vague_contractuelle,localisation,site_internet,geolocalisation,uai_identifiant,siret,siren,identifiant_wikidata,element_wikidata,identifiant_idref,identifiant_eter,identifiant_ror,element_ror,identifiant_isni,element_isni,date_creation,code_commune,commune,code_unite_urbaine,unite_urbaine,code_departement,departement,code_academie,academie,code_region,region,ancien_code_region,ancienne_region,adresse,code_postal,localite,pays,numero_de_telephone,statut_juridique_court,statut_juridique,compte_facebook,compte_twitter,compte_instagram,compte_linkedin,compte_youtube,scanr,article,champ_recherche,commune_std
6A498,CASA DE VELAZQUEZ DE MADRID,,CVZ,AUTRE ETABLISSEMENT,PUBLIC,,ETRANGER>MADRID,HTTPS://WWW.CASADEVELAZQUEZ.ORG/,"40.44138, 3.73045",1340004B,18004412500011.0,180044125.0,Q2470271,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q2470271,026363933,,03W36PM25,HTTPS://ROR.ORG/03W36PM25,0000 0001 2151 3364,HTTP://WWW.ISNI.ORG/0000 0001 2151 3364,1929,,MADRID,,MADRID,D999,ETRANGER,A00,ETRANGER,R99,ETRANGER,R99,ETRANGER,"C/ DE PAUL GUINARD, 3",28040,MADRID,ESPAGNE,,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/CASADEVELAZQUEZ,HTTPS://TWITTER.COM/CASADEVELAZQUEZ,,,Https://www.youtube.com/user/casadevelazquez,Https://scanr.enseignementsup recherche.gouv.fr/entite/180044125,A LA,CASA DE VELAZQUEZ DE MADRID CVZ,
JKV15,ECOLE CENTRALE D ELECTRONIQUE,ECE,,ECOLE,PRIVE,VAGUE D,ILE DE FRANCE>PARIS>PARIS 15E,HTTPS://WWW.ECE.FR/ECOLE INGENIEUR/,"48.85152, 2.28683",0754431J,37936409400019.375,379364094.0,Q3577731,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3577731,,,02K6N4S14,HTTPS://ROR.ORG/02K6N4S14,0000 0004 0640 3409,HTTP://WWW.ISNI.ORG/0000 0004 0640 3409,1909,75115.0,PARIS 15E,UU00851,PARIS,D075,PARIS,A01,PARIS,R11,ILE DE FRANCE,R11,ILE DE FRANCE,37 QUAI DE GRENELLE,75015,PARIS,FRANCE,33144390600.0,ASSOCIATION LOI DE 1901,ASSOCIATION LOI DE 1901,,,,,,,A L,ECOLE CENTRALE D ELECTRONIQUE ECE,75115.0
JQKHK,ECOLE NATIONALE DE L AVIATION CIVILE,ENAC,ENAC,GRAND ETABLISSEMENT,PUBLIC,VAGUE A,Occitanie>toulouse>haute garonne>toulouse,HTTPS://WWW.ENAC.FR/FR,"43.565904, 1.480601",0311256X,19311256200015.0,193112562.0,Q174335,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q174335,027771881,FR0036,022ZDGQ74,HTTPS://ROR.ORG/022ZDGQ74,0000 0001 2112 1176,HTTP://WWW.ISNI.ORG/0000 0001 2112 1176,1949 08 28,31555.0,TOULOUSE,UU00758,TOULOUSE,D031,HAUTE GARONNE,A16,TOULOUSE,R76,OCCITANIE,R73,MIDI PYRENEES,7 AVENUE EDOUARD BELIN,31055,TOULOUSE CEDEX 4,FRANCE,,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/ENACFRANCE,HTTPS://TWITTER.COM/ENACFRANCE,HTTPS://WWW.INSTAGRAM.COM/ENAC_OFFICIEL/,Https://www.linkedin.com/school/ecole nationale de l aviation civile/,Https://www.youtube.com/user/enactoulouse,Https://scanr.enseignementsup recherche.gouv.fr/entite/193112562,A L,Ecole nationale de l aviation civile enac french civil aviation university,31555.0
44XXV,ECOLE NATIONALE DES PONTS ET CHAUSSEES,,ENPC,GRAND ETABLISSEMENT,PUBLIC,VAGUE E,Ile de france>creteil>seine et marne>paris>champs sur marne,HTTPS://WWW.ECOLEDESPONTS.FR/,"48.8411, 2.58822",0772517T 0753501Y,19753501600020.0,197535016.0,Q273523,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q273523,026375060,FR0224,02NWVXZ07,HTTPS://ROR.ORG/02NWVXZ07,0000 0004 0641 4845,HTTP://WWW.ISNI.ORG/0000 0004 0641 4845,1747,77083.0,CHAMPS SUR MARNE,UU00851,PARIS,D077,SEINE ET MARNE,A24,CRETEIL,R11,ILE DE FRANCE,R11,ILE DE FRANCE,6 ET 8 AVENUE BLAISE PASCAL,77455,MARNE LA VALLEE CEDEX 2,FRANCE,33164153000.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/ECOLEDESPONTS/,HTTPS://TWITTER.COM/ECOLEDESPONTS,HTTPS://WWW.INSTAGRAM.COM/ECOLEDESPONTS/,Https://www.linkedin.com/school/ecole des ponts paris tech/,Https://www.youtube.com/user/ecoledesponts,Https://scanr.enseignementsup recherche.gouv.fr/entite/197535016,A L,Ecole nationale des ponts et chaussees ecole des ponts paristech enpc,77083.0
QEAIL,Ecole nationale superieure des beaux arts de paris,BEAUX ARTS DE PARIS,ENSBA,ECOLE,PUBLIC,,ILE DE FRANCE>PARIS>PARIS 6E,HTTPS://BEAUXARTSPARIS.FR/FR,"48.856491, 2.334499",0753667D,19753667500014.0,197536675.0,Q273593,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q273593,026408139,FR0207,01CDN3R29,HTTPS://ROR.ORG/01CDN3R29,0000 0001 2296 0748,HTTP://WWW.ISNI.ORG/0000 0001 2296 0748,1794,75106.0,PARIS 6E,UU00851,PARIS,D075,PARIS,A01,PARIS,R11,ILE DE FRANCE,R11,ILE DE FRANCE,14 RUE BONAPARTE,75006,PARIS,FRANCE,33147035000.0,Autre etablissement public national d enseignement,Autre etablissement public national d enseignement,HTTPS://WWW.FACEBOOK.COM/BEAUXARTSPARIS,HTTPS://TWITTER.COM/BEAUXARTSPARIS,Https://www.instagram.com/beauxartsparis/,Https://www.linkedin.com/company/ c3 a9cole nationale sup c3 a9rieure des beaux arts/?viewasmember=true/,Https://www.youtube.com/channel/ucearnorngk2iedcgjtmgwmw,Https://scanr.enseignementsup recherche.gouv.fr/entite/197536675,,Ecole nationale superieure des beaux arts de paris beaux arts de paris ensba,75106.0
QHKRF,ECOLE SPECIALE MILITAIRE DE SAINT CYR,ESM ST CYR,,ECOLE,PUBLIC,VAGUE B,BRETAGNE>RENNES>MORBIHAN>GUER,HTTP://WWW.ST CYR.TERRE.DEFENSE.GOUV.FR/,"47.94619, 2.152742",0560068V,,,Q1132066,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q1132066,,,00AAC9T94,HTTPS://ROR.ORG/00AAC9T94,0000 0001 1957 1442,HTTP://WWW.ISNI.ORG/0000 0001 1957 1442,1802,56075.0,GUER,UU56207,GUER,D056,MORBIHAN,A14,RENNES,R53,BRETAGNE,R53,BRETAGNE,,56380,GUER,FRANCE,,Sans personnalite juridique secteur public,Sans personnalite juridique secteur public,,,,,,,A L,Ecole speciale militaire de saint cyr esm st cyr,56075.0
5EUBS,Institut francais d archeologie orientale du caire,IFAO,,AUTRE ETABLISSEMENT,PUBLIC,,ETRANGER>LE CAIRE,HTTPS://WWW.IFAO.EGNET.NET/,"30.0328599, 31.2352879",3010001R,18004619500012.0,180046195.0,Q1472454,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q1472454,026387395,,055PD2P26,HTTPS://ROR.ORG/055PD2P26,,,1880,,LE CAIRE,,LE CAIRE,D999,ETRANGER,A00,ETRANGER,R99,ETRANGER,R99,ETRANGER,37 RUE AL CHEIKH ALI YOUSSEF,11441,LE CAIRE,EGYPTE,,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/IFAOCAIRE/,HTTPS://TWITTER.COM/IFAOCAIRE,,,Https://www.youtube.com/channel/uctyebq9_axoednyxutolxna,Https://scanr.enseignementsup recherche.gouv.fr/entite/180046195,A L,Institut francais d archeologie orientale du caire ifao french institute for oriental archaeology in cairo,
DJ88D,Institut national des sciences appliquees de toulouse,INSA DE TOULOUSE,INSA TOULOUSE,ECOLE,PUBLIC,VAGUE A,Occitanie>toulouse>haute garonne>toulouse,HTTP://WWW.INSA TOULOUSE.FR/,"43.56960616644996, 1.4677691459655764",0310152X,19310152400018.0,193101524.0,Q858979,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q858979,026388766,FR0033,01H8PF755,HTTPS://ROR.ORG/01H8PF755,0000 0001 2286 8343,HTTP://WWW.ISNI.ORG/0000 0001 2286 8343,1961 11 29,31555.0,TOULOUSE,UU00758,TOULOUSE,D031,HAUTE GARONNE,A16,TOULOUSE,R76,OCCITANIE,R73,MIDI PYRENEES,135 AVENUE DE RANGUEIL,31077,TOULOUSE CEDEX 04,FRANCE,33561559513.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/INSATOULOUSE,HTTPS://TWITTER.COM/INSATOULOUSE,,Https://www.linkedin.com/groups/insa de toulouse 1853952?trk=myg_ugrp_ovr,Https://www.youtube.com/user/insatoulouse,,A L,Institut national des sciences appliquees de toulouse insa de toulouse insa toulouse,31555.0
8TVLR,UNIVERSITE DE TECHNOLOGIE DE TROYES,,UTT,ECOLE,PUBLIC,VAGUE C,GRAND EST>REIMS>AUBE>TROYES,HTTPS://WWW.UTT.FR/,"48.26834, 4.06794",0101060Y,19101060200032.0,191010602.0,Q1037208,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q1037208,050522604,FR0002,01QHQCJ41,HTTPS://ROR.ORG/01QHQCJ41,0000 0001 2169 8047,HTTP://WWW.ISNI.ORG/0000 0001 2169 8047,1994 09 16,10387.0,TROYES,UU10601,TROYES,D010,AUBE,A19,REIMS,R44,GRAND EST,R21,CHAMPAGNE ARDENNE,12 RUE MARIE CURIE,10004,TROYES CEDEX,FRANCE,33325717600.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/UTTROYES,HTTPS://TWITTER.COM/UTTROYES,HTTPS://WWW.INSTAGRAM.COM/UTTROYES/,Https://www.linkedin.com/school/universit c3 a9 de technologie de troyes/,Https://www.youtube.com/channel/uchxzmf0mv05cob1iigqihwg,Https://scanr.enseignementsup recherche.gouv.fr/entite/191010602,A L,Universite de technologie de troyes university of technology of troyes utt,10387.0
VB71K,UNIVERSITE PARIS EST CRETEIL,,UPEC,UNIVERSITE,PUBLIC,VAGUE E,Ile de france>creteil>val de marne>paris>creteil,HTTPS://WWW.U PEC.FR/,"48.78852, 2.4437",0941111X,19941111700013.0,199411117.0,Q980688,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q980688,028021037,FR0266,05GGC9X40,HTTPS://ROR.ORG/05GGC9X40,0000 0001 2149 7878,HTTP://WWW.ISNI.ORG/0000 0001 2149 7878,1971 01 01,94028.0,CRETEIL,UU00851,PARIS,D094,VAL DE MARNE,A24,CRETEIL,R11,ILE DE FRANCE,R11,ILE DE FRANCE,61 AVENUE DU GENERAL DE GAULLE,94010,CRETEIL CEDEX,FRANCE,33145171000.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/UPEC.OFFICIEL/,HTTPS://TWITTER.COM/UPECACTUS,Https://www.instagram.com/uparisestcreteil/,Https://www.linkedin.com/school/universite paris est creteil paris12/,Https://www.youtube.com/channel/uckcroyoodjyuqnrmpvsuz8q,Https://scanr.enseignementsup recherche.gouv.fr/entite/199411117,A L,Universite de paris xii universite paris est creteil paris east creteil university upec,94028.0
EW53M,UNIVERSITE POLYTECHNIQUE HAUTS DE FRANCE,,UPHF,UNIVERSITE,PUBLIC,VAGUE E,Hauts de france>lille>nord>valenciennes>aulnoy lez valenciennes,HTTPS://WWW.UPHF.FR/,"50.32622, 3.51056",0597132G,13002574500014.0,130025745.0,Q1548539,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q1548539,242335675,,02EZCH769,HTTPS://ROR.ORG/02EZCH769,,,2019 09 11,59032.0,AULNOY LEZ VALENCIENNES,UU59701,VALENCIENNES,D059,NORD,A09,LILLE,R32,HAUTS DE FRANCE,R31,NORD PAS DE CALAIS,LE MONT HOUY,59313,VALENCIENNES CEDEX 9,FRANCE,33327511234.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/UPHFOFFICIEL/,HTTPS://TWITTER.COM/UPHFOFFICIEL,,,Https://www.youtube.com/channel/uczsxcluzzp9axxkf4iw5jyg,Https://scanr.enseignementsup recherche.gouv.fr/entite/130025745,A L,Universite polytechnique hauts de france polytechnic university hauts de france uphf,59032.0
CQYN7,UNIVERSITE SORBONNE PARIS NORD,,USPN,UNIVERSITE,PUBLIC,VAGUE D,Ile de france>creteil>seine saint denis>paris>villetaneuse,HTTP://WWW.UNIV PARIS13.FR/,"48.95793, 2.34071",0931238R,19931238000017.0,199312380.0,Q1780212,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q1780212,02640463X,FR0262,0199HDS37,HTTPS://ROR.ORG/0199HDS37,0000 0001 2149 6883,HTTP://WWW.ISNI.ORG/0000 0001 2149 6883,1971 01 01,93079.0,VILLETANEUSE,UU00851,PARIS,D093,SEINE SAINT DENIS,A24,CRETEIL,R11,ILE DE FRANCE,R11,ILE DE FRANCE,99 AVENUE JEAN BAPTISTE CLEMENT,93430,VILLETANEUSE,FRANCE,33149403000.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",Https://www.facebook.com/univsorbonneparisnord,HTTPS://TWITTER.COM/UNIV_SPN,Https://www.instagram.com/univ_sorbonneparisnord/,Https://www.linkedin.com/school/universit paris 13 nord/,HTTPS://WWW.YOUTUBE.COM/USER/UNIVPARIS13,Https://scanr.enseignementsup recherche.gouv.fr/entite/199312380,A L,Universite paris xiii universite paris xiii universite paris 13 universite sorbonne paris nord paris 13 university uspn,93079.0
11V7N,BREST BUSINESS SCHOOL,BREST BS,,ECOLE,PRIVE,,BRETAGNE>RENNES>FINISTERE>BREST,HTTPS://BREST BS.COM/,"48.4059433199, 4.5215645694",0290127F,81263551400019.0,812635514.0,Q3578429,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3578429,17205124X,,02WTZN374,HTTPS://ROR.ORG/02WTZN374,,,1962,29019.0,BREST,UU29701,BREST,D029,FINISTERE,A14,RENNES,R53,BRETAGNE,R53,BRETAGNE,2 AVENUE DE PROVENCE,29238,BREST CEDEX 2,FRANCE,,ASSOCIATION LOI DE 1901,ASSOCIATION LOI DE 1901,HTTPS://WWW.FACEBOOK.COM/BRESTBS,HTTPS://TWITTER.COM/BRESTBS,HTTPS://WWW.INSTAGRAM.COM/BREST.BS/,Https://www.linkedin.com/school/brest business school/,Https://www.youtube.com/c/brestbusinessschool,,,BREST BUSINESS SCHOOL BREST BS,29019.0
EVV7S,UNIVERSITE DE MONTPELLIER,,UM,UNIVERSITE,PUBLIC,VAGUE A,Occitanie>montpellier>herault>montpellier,HTTPS://WWW.UMONTPELLIER.FR,"43.61494, 3.87347",0342490X,13002979600013.0,130029796.0,,,25843614X,,051ESCJ72,HTTPS://ROR.ORG/051ESCJ72,,,2021 09 21,34172.0,MONTPELLIER,UU34701,MONTPELLIER,D034,HERAULT,A11,MONTPELLIER,R76,OCCITANIE,R91,LANGUEDOC ROUSSILLON,163 RUE AUGUSTE BROUSSONNET,34090,MONTPELLIER,FRANCE,,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",,,,,,,A L,Universite de montpellier university of montpellier um,34172.0
54VTE,CENTRALE LILLE INSTITUT,,CLI,ECOLE,PUBLIC,VAGUE E,Hauts de france>lille>nord>lille>villeneuve d ascq,HTTPS://CENTRALELILLE.FR/,"50.60648, 3.13757",0597139P 0590349J,19590349700012.0,195903497.0,Q273461,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q273461,027964361,FR0121,01X441G73,HTTPS://ROR.ORG/01X441G73,0000 0001 2203 4461,HTTP://WWW.ISNI.ORG/0000 0001 2203 4461,1854,59009.0,VILLENEUVE D ASCQ,UU59702,LILLE,D059,NORD,A09,LILLE,R32,HAUTS DE FRANCE,R31,NORD PAS DE CALAIS,CITE SCIENTIFIQUE,59651,VILLENEUVE D ASCQ CEDEX,FRANCE,33320335353.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",Https://www.facebook.com/ecolecentralelille/,HTTPS://TWITTER.COM/CENTRALELILLE,,Https://www.linkedin.com/school/centrale lille/,,,A,Institut industriel du nord centrale lille institut ecole des arts industriels et des mines ecole centrale de lille ecole imperiale des arts industriels et des mines institut industriel agronomique et commercial du nord de la france ec lille idn cli,59009.0
XMWFA,CESI,,CESI,ECOLE,PRIVE,VAGUE D,Ile de france>versailles>hauts de seine>paris>puteaux,HTTPS://WWW.CESI.FR/,"48.88976, 2.24012",0922455U 0755372G,77572257201109.78,775722572.0,Q30255548,Https://www.wikidata.org/entity/q30255548,035074566,FR0213,04F87D812,HTTPS://ROR.ORG/04F87D812,,,1958 11 09,92062.0,PUTEAUX,UU00851,PARIS,D092,HAUTS DE SEINE,A25,VERSAILLES,R11,ILE DE FRANCE,R11,ILE DE FRANCE,1 AVENUE DU GENERAL DE GAULLE,92074,PARIS LA DEFENSE,FRANCE,33144459200.0,ASSOCIATION LOI DE 1901,ASSOCIATION LOI DE 1901,,HTTPS://TWITTER.COM/GROUPECESI,HTTPS://WWW.INSTAGRAM.COM/CAMPUS_CESI/,Https://www.linkedin.com/company/groupe cesi/,Https://www.youtube.com/user/groupecesi1/,Https://scanr.enseignementsup recherche.gouv.fr/entite/775722572,AU,Campus d enseignement superieur et de formation professionnelle cesi,92062.0
TSGYA,ECOLE FRANCAISE D EXTREME ORIENT,,EFEO,AUTRE ETABLISSEMENT,PUBLIC,,ILE DE FRANCE>PARIS>PARIS 16E,HTTPS://WWW.EFEO.FR/,"48.86451, 2.2922",0751794T,18004411700018.0,180044117.0,Q273559,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q273559,026523248,,00FMNPW63,HTTPS://ROR.ORG/00FMNPW63,0000 0004 0644 9474,HTTP://WWW.ISNI.ORG/0000 0004 0644 9474,1898,75116.0,PARIS 16E,UU00851,PARIS,D075,PARIS,A01,PARIS,R11,ILE DE FRANCE,R11,ILE DE FRANCE,22 AVENUE DU PRESIDENT WILSON,75116,PARIS,FRANCE,33153701820.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",,HTTPS://TWITTER.COM/EFEO_PARIS,Https://www.instagram.com/ecolefrancaisedextremeorient/,HTTPS://WWW.LINKEDIN.COM/COMPANY/EFEO/,Https://www.youtube.com/channel/uccawky p7foqkny32mtrhsg,Https://scanr.enseignementsup recherche.gouv.fr/entite/180044117,A L,ECOLE FRANCAISE D EXTREME ORIENT EFEO,75116.0
Q6UOU,BUILDERS ECOLE D INGENIEURS,BUILDERS CAEN,,ECOLE,PRIVE,VAGUE B,NORMANDIE>CALVADOS>CAEN>EPRON,HTTPS://BUILDERS INGENIEURS.FR/,"49.2163, 0.366436",0142182W,40316268800010.0,403162688.0,Q3578414,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3578414,,FR0011,04TWEN471,HTTPS://ROR.ORG/04TWEN471,0000 0004 4905 1773,HTTP://WWW.ISNI.ORG/0000 0004 4905 1773,1993,14242.0,EPRON,UU14701,CAEN,D014,CALVADOS,A70,NORMANDIE,R28,NORMANDIE,R25,BASSE NORMANDIE,1 RUE PIERRE ET MARIE CURIE,14610,EPRON,FRANCE,33231462300.0,ASSOCIATION LOI DE 1901,ASSOCIATION LOI DE 1901,Https://www.facebook.com/buildersingenieurs,HTTPS://TWITTER.COM/BUILDERSECOLE,,Https://fr.linkedin.com/school/builders ingenieurs/,Https://www.youtube.com/@buildersecoledingenieurs3479,Https://scanr.enseignementsup recherche.gouv.fr/entite/403162688,A,Builders ecole d ingenieurs ecole superieure d ingenieurs des travaux de la construction de caen builders caen esitc caen,14242.0
7ZZQC,FACULTES LIBRES DE L OUEST,FLO,,ECOLE,PRIVE,,Pays de la loire>nantes>maine et loire>angers,HTTPS://WWW.UCO.FR/FR,"47.46273, 0.54616",0490811R,78611668100010.0,786116681.0,Q1476738,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q1476738,026565919,FR0098,00JZV1T04,HTTPS://ROR.ORG/00JZV1T04,0000 0001 2301 7129,HTTP://WWW.ISNI.ORG/0000 0001 2301 7129,1875,49007.0,ANGERS,UU49701,ANGERS,D049,MAINE ET LOIRE,A17,NANTES,R52,PAYS DE LA LOIRE,R52,PAYS DE LA LOIRE,3 PLACE ANDRE LEROY,49008,ANGERS CEDEX 01,FRANCE,33241816600.0,"Association declaree, reconnue d utilite publique","Association declaree, reconnue d utilite publique",HTTPS://WWW.FACEBOOK.COM/UNIVERSITE.UCO,HTTPS://TWITTER.COM/UNIVCATHOOUEST,,,,Https://scanr.enseignementsup recherche.gouv.fr/entite/786116681,A LA,FACULTES LIBRES DE L OUEST FLO,49007.0
0XJBA,Institut d economie scientifique et de gestion,IESEG,,ECOLE,PRIVE,,HAUTS DE FRANCE>LILLE>NORD>LILLE,HTTPS://WWW.IESEG.FR/,"50.63538, 3.04488",0593202K,78370705200032.0,783707052.0,Q3156522,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3156522,030507200,,04JQEAG92,HTTPS://ROR.ORG/04JQEAG92,0000 0004 0639 0409,HTTP://WWW.ISNI.ORG/0000 0004 0639 0409,1964,59350.0,LILLE,UU59702,LILLE,D059,NORD,A09,LILLE,R32,HAUTS DE FRANCE,R31,NORD PAS DE CALAIS,3 RUE DE LA DIGUE,59800,LILLE,FRANCE,33320545892.0,ASSOCIATION LOI DE 1901,ASSOCIATION LOI DE 1901,Https://www.facebook.com/ieseg.school.of.management/,HTTPS://TWITTER.COM/IESEG,HTTPS://WWW.INSTAGRAM.COM/IESEG_SCHOOL/,Https://www.linkedin.com/school/ieseg school of management/,Https://www.youtube.com/user/iesegchannel,Https://scanr.enseignementsup recherche.gouv.fr/entite/783707052,A L,Institut d economie scientifique et de gestion ieseg ieseg school of management,59350.0
DXA6R,Institut europeen d administration des affaires,,INSEAD,ECOLE,PRIVE,,Ile de france>creteil>seine et marne>fontainebleau,,"48.4054, 2.68529",0771077C,77570339000010.0,775703390.0,Q1136829,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q1136829,026537036,,00GHZK478,HTTPS://ROR.ORG/00GHZK478,0000 0004 1791 3287,HTTP://WWW.ISNI.ORG/0000 0004 1791 3287,1957,77186.0,FONTAINEBLEAU,UU77405,FONTAINEBLEAU,D077,SEINE ET MARNE,A24,CRETEIL,R11,ILE DE FRANCE,R11,ILE DE FRANCE,BOULEVARD DE CONSTANCE,77305,FONTAINEBLEAU,FRANCE,33160724000.0,ASSOCIATION LOI DE 1901,ASSOCIATION LOI DE 1901,HTTPS://WWW.FACEBOOK.COM/INSEAD/,HTTPS://TWITTER.COM/INSEAD,HTTPS://WWW.INSTAGRAM.COM/INSEAD/,HTTPS://WWW.LINKEDIN.COM/COMPANY/INSEAD/,HTTPS://WWW.YOUTUBE.COM/INSEAD,Https://scanr.enseignementsup recherche.gouv.fr/entite/775703390,A L,Institut europeen d administration des affaires insead,77186.0
E2UV7,UNIVERSITE DE BRETAGNE OCCIDENTALE,,,UNIVERSITE,PUBLIC,VAGUE B,BRETAGNE>RENNES>FINISTERE>BREST,,"48.39905661506747, 4.503364562988282",0292473F,94129831700012.0,941298317.0,Q135398330,Https://www.wikidata.org/entity/q135398330,,,0372TH171,HTTPS://ROR.ORG/0372TH171,,,2025 03 01,29019.0,BREST,UU29701,BREST,D029,FINISTERE,A14,RENNES,R53,BRETAGNE,R53,BRETAGNE,3 RUE MATTHIEU GALLOU,29200,BREST,FRANCE,33298016000.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/UBO.UNIVBREST,HTTPS://TWITTER.COM/UBO_UNIVBREST,Https://www.instagram.com/universitebrest/,,HTTPS://WWW.YOUTUBE.COM/USER/UNIVBREST,,A L,Universite de brest universite de bretagne occidentale,29019.0
KLRVR,NIMES UNIVERSITE,,,UNIVERSITE,PUBLIC,VAGUE A,OCCITANIE>MONTPELLIER>GARD>NIMES,,"43.84259819152813, 4.357001781463624",0301911P,93249157400012.0,932491574.0,,,,,,,,,2024 07 18,30189.0,NIMES,UU30601,NIMES,D030,GARD,A11,MONTPELLIER,R76,OCCITANIE,R91,LANGUEDOC ROUSSILLON,RUE DU DOCTEUR GEORGES SALAN,30000,NIMES,FRANCE,,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",,,,,,,A,NIMES UNIVERSITE,30189.0
G4572,UNIVERSITE DE ROUEN NORMANDIE,,UNIROUEN,UNIVERSITE,PUBLIC,VAGUE B,Normandie>seine maritime>rouen>mont saint aignan,HTTPS://WWW.UNIV ROUEN.FR/,"49.4583, 1.06895",0761904G,19761904200017.0,197619042.0,Q494247,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q494247,026403919,FR0218,03NHJEW95,HTTPS://ROR.ORG/03NHJEW95,0000 0001 2108 3034,HTTP://WWW.ISNI.ORG/0000 0001 2108 3034,1971 01 01,76451.0,MONT SAINT AIGNAN,UU00755,ROUEN,D076,SEINE MARITIME,A70,NORMANDIE,R28,NORMANDIE,R23,HAUTE NORMANDIE,1 RUE THOMAS BECKET,76821,MONT SAINT AIGNAN CEDEX,FRANCE,33235146000.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/UNIV.ROUEN,,,,,Https://scanr.enseignementsup recherche.gouv.fr/entite/197619042,A L,Universite de rouen universite de rouen normandie university of rouen normandy unirouen,76451.0
7GZUB,UNIVERSITE JEAN MOULIN LYON 3,LYON III,,UNIVERSITE,PUBLIC,VAGUE A,Auvergne rhone alpes>lyon>rhone>lyon>lyon 8e,HTTP://WWW.UNIV LYON3.FR/,"45.747027, 4.860547",0692437Z,19692437700019.2,196924377.0,Q4027,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q4027,026404494,FR0161,05B5C0584,HTTPS://ROR.ORG/05B5C0584,0000 0001 2192 0883,HTTP://WWW.ISNI.ORG/0000 0001 2192 0883,1973 07 28,69388.0,LYON 8E,UU00760,LYON,D069,RHONE,A10,LYON,R84,AUVERGNE RHONE ALPES,R82,RHONE ALPES,1C AVENUE DES FRERES LUMIERE,69372,LYON CEDEX 08,FRANCE,33478787878.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",Https://www.facebook.com/univjeanmoulinlyon3/,HTTPS://TWITTER.COM/UJML,HTTPS://WWW.INSTAGRAM.COM/UNIVLYON3/,Https://www.linkedin.com/school/universit jean moulin lyon 3/,Https://www.youtube.com/channel/uciwyaxiofx0u5trwxsqeyzq,Https://scanr.enseignementsup recherche.gouv.fr/entite/196924377,A L,Universite lyon iii universite jean moulin lyon 3 lyon iii jean moulin university lyon 3,69388.0
